full_text,education_level,source_dataset,domain,orig_split,orig_idx,topic,variation,condition,requested_level,llm_judge_label
"Light travels fast, but not instantly. It takes a little time. 
Imagine you are on Earth and shout to someone on Mars. 
You shout ""Hello!"" and your friend on Mars hears it. 
But if you threw a ball at your friend, it would take much longer to reach. 
This is because light moves super fast, even faster than any car or plane. 
It travels through space without touching anything, like a magic runner. 
This speed of light is special and always the same everywhere. 
Scientists call this speed very important for space travel and navigation.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,10,the speed of light,0,easy_prose_hard_concept,middle,middle
"Light travels fast, but not instantly, through space.
It takes about 8 minutes and 20 seconds to reach us.
From the sun, light travels about 93 million miles.
That's very far, so it takes time to get here.
Light can travel through a vacuum, empty space.
This is because it's made of tiny particles, photons.
These particles have no mass, no weight or size.
They can move quickly, without any friction or drag.
This makes them go really fast, about 186,282 miles per second.
That's the speed of light, the fastest thing we know.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,11,the speed of light,1,easy_prose_hard_concept,high,middle
"Imagine tiny particles moving very fast in a special box.
They have too much energy to go over a wall.
But they don't bounce back. They go through the wall!
This is called quantum tunneling.
It's like a superpower for tiny things.
They can pass through a barrier that's too high.
This happens because the tiny particles are very fast.
They don't feel the wall like we do.
It's like running fast enough to jump over a hill.
But instead of jumping, they go right through.
This helps us make special things like super-fast computers.",elementary,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,12,quantum tunneling,0,easy_prose_hard_concept,elementary,elementary
"Imagine tiny particles moving through a wall.
Normally, they can't get through because it's too high.
But sometimes they do, and it's a big surprise.
This happens because they don't follow the rules.
They can sneak through tiny gaps or holes.
It's like walking through a door that's locked.
You can't see the hole, but it's there.
The particle gets through and appears on the other side.
This strange ability is called quantum tunneling.
It's like a magic trick, but it's real.
It helps us understand the tiny world around us.
This is a secret of the very small.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,13,quantum tunneling,1,easy_prose_hard_concept,middle,middle
"Imagine tiny particles too small to see, called strings.
These strings vibrate like guitar strings.
Their vibrations create all the things around us.
Imagine a violin, a book, and a chair.
They're all made of tiny, vibrating strings.
These strings can vibrate in different ways.
They can be high or low, fast or slow.
Each vibration creates a different kind of particle.
Some particles make up atoms, others make stars.
The universe is made up of many particles.
Each one is like a different musical note.
The vibrations mix together to create everything we see.",elementary,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,14,string theory,0,easy_prose_hard_concept,high,elementary
"Imagine tiny, tiny things called strings.
They are too small to see.
These tiny strings vibrate at different speeds.
That makes them sound like different notes.
Imagine a violin string.
When it vibrates, it makes a sound.
The tiny strings are like many violins.
They vibrate and make up everything around us.
Even space and time are made from these strings.
They are like a big web.
Everything in the web vibrates and moves.
This makes our world come alive.
It's like a big, never-ending song.",elementary,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,15,string theory,1,easy_prose_hard_concept,elementary,elementary
"Imagine a star that's almost too small to see.
It's made of atoms packed super tightly together.
This star is so dense, it's almost a solid.
It spins very fast, like a top spinning quickly.
The star is so heavy that its gravity pulls inward.
This makes it shrink and spin even faster.
As it shrinks, it gets hotter and hotter.
Eventually, it gets so hot that it changes.
The star starts to shine very brightly, like a lightbulb.
We call this a neutron star, a superstar in space.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,16,neutron stars,0,easy_prose_hard_concept,middle,middle
"Imagine a massive star running out of fuel in space.
When it dies, it collapses under its own weight.
This collapse creates an incredibly small, heavy object.
We call it a neutron star.
It's like a tiny, super-dense ball.
Imagine a sugar cube compared to a huge mountain.
A neutron star is even denser, with matter packed.
Its gravity is so strong, not even light escapes.
That's why it's invisible to us on Earth.
A neutron star's surface is scorching hot, over 100,000°C.
It's a cosmic wonder, a result of a massive star's end.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,17,neutron stars,1,easy_prose_hard_concept,high,middle
"Imagine you're on a train going very fast. 
You want to know how fast you're moving at each moment.
A special way to do this is called calculus.
Calculus is like a tool to help us figure things out.
It helps us understand how things change very quickly.
Imagine you're on a hill on a sled. 
You push off and start sliding down.
Calculus helps us see how fast you're going at each moment.
As you go down the hill, your speed changes.
Calculus is good for understanding things that change quickly.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,18,differential calculus,0,easy_prose_hard_concept,elementary,middle
"Imagine you're on a road trip, driving a car. 
You're going uphill and the speedometer shows the car's speed.
If you graph the speed, it will look like a wiggly line.
But what if you want to know the steepness of the road?
That's where something called ""differential calculus"" comes in.
It helps us figure out how steep the road is at every point.
Think of it like a special tool to measure slope.
Imagine a number that tells you how fast the slope is changing.
This number is called the ""derivative.""
It's like a secret code that helps you understand the road ahead.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,19,differential calculus,1,easy_prose_hard_concept,middle,middle
"Imagine you're on a road trip, driving at a steady speed.
Your car's speedometer shows how fast you're going.
Integral calculus helps find the total distance traveled.
It's like adding up all the little pieces of distance.
You break down the trip into tiny parts, then add them.
This helps you find the total distance, even if the speed changes.
Think of it like filling a bucket with water, drop by drop.
Each drop represents a small piece of distance, and the bucket's full when you reach your destination.
This helps you understand how far you've traveled, in a new way.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,20,integral calculus,0,easy_prose_hard_concept,high,middle
"Imagine you have a water tank filling up slowly. 
The water flows in at a certain rate. 
We want to know how much water is in the tank at any time.
A special tool called a ""calculator"" can help us.
This tool adds up tiny bits of water as time passes.
It's like counting how many pennies fall into the tank.
As the water level rises, the calculator keeps track.
It helps us find the total amount of water inside.
This is like solving a secret code to measure water.
The calculator is very good at solving these kinds of problems.
It's called ""integral calculus"" and it's very helpful.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,21,integral calculus,1,easy_prose_hard_concept,elementary,middle
"Imagine you have a secret code to hide a message.
You have two invisible machines that move a certain way.
One machine moves up and down (called ""x""), and the other left and right (called ""y"").
The secret code says how much each machine moves.
You can mix these two machines together to create a new machine.
This new machine makes a special line, like a straight path on a graph.
To decode the message, you need to find the point where these two machines meet.
This point is like a secret key to unlock the hidden message.
The study of how to work with these machines is called linear algebra.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,22,linear algebra,0,easy_prose_hard_concept,middle,middle
"Imagine you have a secret code to hide a message.
To crack it, you need a special key.
This key is like a list of numbers that says how to mix and combine the code parts.
Linear algebra is the math tool that helps you create and use these secret keys.
It involves solving equations with letters and numbers to figure out the key.
You can think of it as solving a puzzle with unknowns.
These unknowns are like secret numbers that need to be found.
With linear algebra, you can create and solve these puzzles quickly and easily.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,23,linear algebra,1,easy_prose_hard_concept,high,middle
"Imagine you have a bunch of different colored ribbons.
Each ribbon moves in its own special way.
Some go up and down, some side to side.
When we put all the ribbons together, it's messy.
A special tool helps us make it not messy.
This tool breaks down the ribbons into single colors.
Now we can see each color moving by itself.
It's like a magic trick that helps us understand.
This tool is called a Fourier transform.
It shows us what makes the messy picture special.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,24,Fourier transforms,0,easy_prose_hard_concept,elementary,middle
"Imagine you're at a music festival. You hear a mix of guitars and drums.
The Fourier transform helps us separate these sounds into their parts.
It's like taking a puzzle and figuring out its individual pieces.
The transform shows us the different sound waves that make up the music.
These waves are like invisible lines that go up and down.
They help us see how each instrument sounds in the mix.
We can use this information to make the music sound better.
By changing the waves, we can make the guitars louder or softer.
The Fourier transform helps us understand how sound works in music.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,25,Fourier transforms,1,easy_prose_hard_concept,middle,middle
"Imagine you're folding a piece of paper in half.
When you open it back up, it looks the same.
This is like a ""topological property"" - something that doesn't change.
Think of a donut and a coffee mug.
They're not the same shape, but you can stretch the mug into the donut shape without tearing it.
This means they're ""topologically equivalent"" - they have the same basic properties.
Topology is the study of these properties, how objects change and stay the same.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,26,topology basics,0,easy_prose_hard_concept,high,middle
"Imagine you have a rubber band. 
You can stretch it and make it big or small.
But can you make it into a ball? 
It's hard to make a perfect ball shape.
Some shapes are like that, hard to change.
These shapes are ""unshapely.""
They can be stretched and folded into different shapes.
But some shapes don't change, no matter what you do.
Those shapes are ""unchangeable.""
Think of a paper square and a paper circle.
A square can be folded, but a circle can't. 
It's still a circle, no matter how you fold it.",elementary,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,27,topology basics,1,easy_prose_hard_concept,elementary,elementary
"Imagine a special kind of computer program.
It's like a magic box that follows rules.
A man named Kurt Gödel found a secret.
He said this box can't be perfect.
If it's perfect, it can talk to itself.
But if it can talk to itself, it's wrong.
This is because the box would say false things.
It would say things that make it doubt itself.
So, it can't be both perfect and true.
This is a big problem for computer scientists.
They want their boxes to be perfect, but it's not possible.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,28,Gödel's theorem,0,easy_prose_hard_concept,middle,middle
"Kurt Gödel was a clever mathematician. He found a big problem. This problem is about math statements. Gödel said, ""You can't prove all math true."" He showed this by creating a special math statement. This statement says it's impossible to prove itself. It's like a tongue-twister. ""This sentence is false."" If it's true, then it's false. But if it's false, then it's true. This creates a big loop. Gödel said this loop shows that some math truths can't be proven. This changed how people think about math and its limits.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,29,Gödel's theorem,1,easy_prose_hard_concept,high,middle
"Imagine you have a toy box with red and blue balls.
You pick one ball from the box without looking.
You want to know if it's red or blue.
Your friend thinks the box has 3 red balls and 2 blue balls.
You think there are 2 red balls and 3 blue balls.
We use a special way to figure out the chance.
It's like a guess, but we use math to help.
We look at what our friend thinks and what we think.
We mix the two and make a new guess together.
That's called using a special tool called Bayesian probability.
It helps us make a good guess, even if we're not sure.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,30,Bayesian probability,0,easy_prose_hard_concept,elementary,middle
"Imagine you flip a coin and it lands on heads. What's the chance it's fair? 
Most people think it's 50-50. But, we can use a math tool called probability to find out.
Probability is like a special kind of guessing game. 
We start with what we think is true. 
Then we see if it makes sense. 
Let's say our coin is fair. If it's fair, it should land on heads or tails equally. 
But, if it landed on heads, that doesn't mean it's not fair. 
It just means we need more information. We need to flip it again and see. 
That way, we can see if it's really fair or not.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,31,Bayesian probability,1,easy_prose_hard_concept,middle,middle
"Imagine a long series of random events, like coin tosses or dice rolls.
Each event is connected to the next one in a special way.
It's like a list of steps that follow each other.
The probability of each step is based on the one before it.
For example, if you roll a 6 on a die, the next roll is more likely to be a 5.
This pattern repeats, creating a chain of events that follows rules.
These rules are like a recipe for predicting what comes next.
Markov chains help us understand and make predictions from these patterns.
They're useful for many things, from weather forecasting to medical research.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,32,Markov chains,0,easy_prose_hard_concept,high,middle
"Imagine you're at an amusement park. You ride a merry-go-round.
It stops and you get off. You can choose a new ride.
There are swings, a Ferris wheel, or a train ride.
You pick the train. Then you get off at a station.
You can get back on the train or ride the swings.
The swings have two seats, side by side, that go up.
If you ride the swings, you might ride with your friend.
If you ride the train, you might ride with your family.
The next stop is a choice, like a game of chance.
What will you choose next? The train or the swings?",elementary,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,33,Markov chains,1,easy_prose_hard_concept,elementary,elementary
"Imagine a computer trying to learn from pictures of dogs.
It sees many pictures and guesses what a dog looks like.
Then it gets a ""score"" on how good its guess is.
If it's not good, it tries again and again.
Each time, it gets a new score, and it improves.
This is like a game where the computer is getting better.
A special trick helps it improve fast - it looks at how wrong it was.
This helps it make better guesses next time.
It's like a person learning from their mistakes and trying harder.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,34,machine learning gradients,0,easy_prose_hard_concept,middle,middle
"Imagine a computer trying to learn from data on its own.
It looks at many examples and finds patterns.
This is called machine learning.
One way it learns is by using gradients.
A gradient is like a slope on a hill.
The computer calculates the steepness of this slope.
It finds the direction of the steepest slope.
This helps it move in the right direction.
The computer adjusts its guesses based on the steepness.
It keeps adjusting until it finds the best answer.
This process is like climbing a hill, but with math.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,35,machine learning gradients,1,easy_prose_hard_concept,high,middle
"Imagine tiny machines inside cells called DNA makers.
Their job is to make copies of your DNA.
First, they unzipped DNA like a zipper.
One team of machines reads the instructions on one side.
The other team writes the instructions on a new side.
They use special helpers called enzymes to copy the code.
These helpers are like super-fast typists.
They type the instructions onto a new piece of DNA.
When done, the new DNA is almost identical to the old one.
This way, when your body needs to grow or fix something, it has a new set of instructions.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,36,DNA replication mechanisms,0,easy_prose_hard_concept,elementary,middle
"Imagine DNA as a blueprint for your body. It's a long, twisted ladder. To make more copies of the ladder, DNA replication happens. 

First, an enzyme called helicase unwinds the ladder. Another enzyme, primase, adds tiny starter pieces called primers. 

An enzyme called DNA polymerase reads the ladder's sides and builds new sides. It matches the letters on the sides to create a new ladder. This process happens very quickly - in just a few hours. The new ladder is an exact copy of the old one.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,37,DNA replication mechanisms,1,easy_prose_hard_concept,middle,middle
"Imagine a long, chain-like molecule called a protein.
Proteins are the building blocks of living things.
They do many jobs in our bodies, like repairing muscles.
But proteins don't stay flat, they fold into shapes.
This folding is like a puzzle, with many pieces fitting together.
Some proteins fold into neat, symmetrical shapes, like a star.
Others fold into messy, irregular shapes, like a puzzle with missing pieces.
Scientists use computers to predict how proteins will fold.
They also use special machines that can help proteins fold correctly.
Protein folding is a complex process, but it's crucial to life.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,38,protein folding,0,easy_prose_hard_concept,high,middle
"Imagine tiny machines inside our bodies called cells.
They work together to keep us alive and strong.
Some of these machines are called proteins.
Proteins are like building blocks of our bodies.

They look like twisted roads with corners and bends.
Imagine a long, long necklace with many small beads.
These beads are called amino acids.
When they are put together, they make a special shape.
But sometimes, they get tangled up like a knot.
We need to help them untangle, or they won't work right.
Special helpers in our bodies fix the knots, making proteins work again.",elementary,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,39,protein folding,1,easy_prose_hard_concept,elementary,elementary
"Imagine a special tool to change DNA code in living things.
This tool is called CRISPR. It's like a super-precise pair of scissors.
Scientists use it to find the right spot in the DNA.
They cut the DNA at that spot and change a single letter.
This letter can affect how a person or animal grows.
Imagine fixing a mistake in a person's DNA to cure a disease.
CRISPR helps scientists do this. It's like a special eraser for genes.
Researchers use CRISPR to study how living things work and grow.
They can even use it to make new medicines.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,40,CRISPR gene editing,0,easy_prose_hard_concept,middle,middle
"Imagine a tool that helps scientists correct mistakes in our DNA.
This tool is called CRISPR gene editing.
It's like a word processor for our genes.
Scientists use it to find the wrong word.
They then fix the mistake with a tiny machine.
The machine uses a guide to find the right spot.
This guide is like a map to the problem.
Scientists use the map to make a repair.
The repair fixes the mistake in the DNA code.
This tool helps us understand how genes work.
It also helps us find new treatments for diseases.
CRISPR is a powerful tool for scientists to use.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,41,CRISPR gene editing,1,easy_prose_hard_concept,high,middle
"A long time ago, a man named Plato thought about ideas. He said ideas are real, but not what we see. He thought they are like perfect pictures in our minds. 

Imagine a perfect circle. You can draw many circles, but none are perfect. That's because they are made by people. Plato said the perfect circle is an idea in our minds. It's the picture of a perfect circle. He said all things have ideas like that. A perfect apple, a perfect dog, a perfect house. These ideas are what make things special.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,42,Plato's theory of forms,0,easy_prose_hard_concept,elementary,middle
"Imagine a world where everything is imperfect, changing, and temporary. Plato thought about this world and asked, ""What is real?"" He said there must be something perfect, unchanging, and eternal. He called this something a ""form."" For example, a flower in a garden is real, but it's not the perfect flower. The perfect flower is the form, the idea of a flower in our minds. There's a form for everything: a perfect horse, a perfect chair, and even a perfect friendship. These forms are perfect and unchanging, like a blueprint for the imperfect things we see. They exist in a special place, outside of our world.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,43,Plato's theory of forms,1,easy_prose_hard_concept,middle,middle
"Immanuel Kant was a German philosopher. He thought about how we make choices. He asked a big question: ""What is right and wrong?"" Kant said we should only do things that we want everyone else to do. This is called a ""universal law."" He also thought about treating others with respect, like we want to be treated. This idea is called ""respect for persons."" Kant believed we should only do things that make us happy if everyone else is happy too. His ideas helped shape modern ethics and still influence our thoughts today.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,44,Kantian ethics,0,easy_prose_hard_concept,high,middle
"Imagine you're playing with your friends. You see a friend take a toy from another friend. 

What should you do? One way to think about it is to ask yourself, ""Would I want someone to do this to me?"" If the answer is no, then it's not right.

This is like what a man named Immanuel Kant said. He thought about how we should treat others. He said we should only do things that everyone would want to be done to them.

So, always try to think, ""Would I like this if it happened to me?"" Then do the right thing, and be a kind friend.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,45,Kantian ethics,1,easy_prose_hard_concept,elementary,middle
"Imagine being the last person on Earth.
You're left alone to make choices every day.
You must decide what matters most to you.
Is it food, shelter, or maybe a book?
You can choose what you want to do.
You have no one to tell you what to do.
You're responsible for yourself and your decisions.
This is what existentialists think about.
They believe our choices make us who we are.
It's not about what others think or say.
It's about being true to who you are.
You create your own meaning in life.
You decide what gives your life value.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,46,existentialism,0,easy_prose_hard_concept,middle,middle
"Existentialism is a way of thinking about life.
It says life has no meaning by itself.
We create our own meaning with our choices.
It's about taking responsibility for what we do.
We're not just following rules or traditions.
We make our own decisions, even if they're hard.
This means we're free to choose our path.
But with freedom comes the burden of choice.
We must decide what gives our life purpose.
We can't blame others or circumstances for our lives.
We're fully responsible for our own happiness or unhappiness.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,47,existentialism,1,easy_prose_hard_concept,high,middle
"Imagine you're walking in a park. You see a tree, a swing, and a bench. You think, ""What's special about this park?"" You look at the tree and think, ""It's tall and green."" You sit on the bench and think, ""This feels soft."" You swing high and feel happy. This is like ""Heideggerian phenomenology."" It's a way of thinking about how we see things. We look, feel, and think, and it makes us understand what's real. It helps us see things in a special way. It's like being a curious explorer in a new place. We discover new things and see the world in a new way.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,48,Heideggerian phenomenology,0,easy_prose_hard_concept,elementary,middle
"Imagine being at a park with friends, feeling happy and free.
This is a common experience, but have you ever thought about it?
Heidegger, a German philosopher, wondered about everyday life.
He said our lives are full of things we don't question.
We just exist, using things and enjoying them.
He called this ""being-in-the-world."" It's like being in a river.
We flow along, without thinking about the river itself.
Heidegger wanted us to notice the river, not just float on it.
He wanted people to think about their own existence deeply.
He thought this would help them understand the world better.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,49,Heideggerian phenomenology,1,easy_prose_hard_concept,middle,middle
"As the warm sunlight streamed through the window, casting a soothing glow upon the soft, plush cushion, our loyal canine companion, Max, succumbed to the allure of a mid-day slumber. The tranquil ambiance of the room, replete with the gentle hum of a fan and the faint scent of fresh laundry, proved to be the perfect catalyst for his drowsy reverie. As his eyelids drooped lazily, his tail thumped gently against the floor, a subtle indicator of the quiet contentment that had settled over him. In this peaceful tableau, time seemed to stand still, and Max's gentle snores harmonized with the symphony of the household, a sweet serenade that filled the air with warmth and tranquility.",high,synthetic_adversarial,hard_prose_easy_concept,ood_adversarial,50,a pet dog napping,0,hard_prose_easy_concept,elementary,high
"As the warm sunlight streamed through the window, my loyal canine companion, a lethargic Labrador retriever named Atlas, succumbed to the soporific allure of a plush cushion, his eyelids drooping with an unmistakable sagacity. His tranquil slumber was precipitated by the gentle lapping of waves outside, which seemed to lull the house into a state of serenity, a soothing accompaniment to the dog's soporific reverie. Meanwhile, the faint scent of freshly laundered linens wafted from the adjacent laundry room, mingling with the soft hum of the refrigerator in a symphony of domestic tranquility, an idyllic backdrop to Atlas's peaceful repose. In this serene tableau, time itself seemed to stand still, as the dog's gentle breathing served as a metronome, marking the steady passage of the afternoon.",high,synthetic_adversarial,hard_prose_easy_concept,ood_adversarial,51,a pet dog napping,1,hard_prose_easy_concept,middle,high
"As the grey skies above surrendered to an insistent precipitation, the afternoon descended into a somber melancholy, the relentless patter of raindrops against the windowspane a dismal serenade that set the tone for a day of languid inactivity. The droplets, like a multitude of tiny drummers, beat out a monotonous rhythm, each individual note blending seamlessly into the cacophony of sound that filled the air, as the rain drizzled down, an uninvited guest that refused to vacate the scene. Meanwhile, indoors, the comforting warmth of the heater and the scent of freshly brewed coffee provided a meager solace, a fleeting respite from the despondency that seeped into the atmosphere, a bittersweet reminder that, on a day like this, the pleasures of the indoors were a meager compensation for the external gloom.",high,synthetic_adversarial,hard_prose_easy_concept,ood_adversarial,52,a rainy afternoon,0,hard_prose_easy_concept,high,high
"As the grey skies above surrendered to an inky veil of clouds, the air grew heavy with the scent of damp earth and leaves, a quintessential harbinger of a rain-soaked afternoon. The droplets, like tiny jewels, began to fall from the heavens, their melodic patter against the pavement a soothing serenade to the senses. Within the confines of a cozy little house, a young girl sat by the window, her gaze riveted to the rain-soaked world outside as the rhythmic beat of the raindrops danced in perfect harmony with the gentle lapping of the puddles against the curb. In this tranquil interlude, the symphony of raindrops created a sense of peace that wrapped itself around her like a warm, comforting shawl.",high,synthetic_adversarial,hard_prose_easy_concept,ood_adversarial,53,a rainy afternoon,1,hard_prose_easy_concept,elementary,high
"As the early morning sunlight trickled through the blinds, casting a warm, golden glow upon the room, I found myself ensnared in a familiar yet unwavering routine - the daily ritual of preparing for school. The cacophony of morning sounds, a symphony of clinking dishes and murmured conversations, provided an aural backdrop to the whirlwind of activity that unfolded as my family and I busied ourselves with the mundane yet essential tasks of packing lunches and gathering backpacks. Amidst the chaos, my mother's gentle reminders - to grab my favorite pen or ensure I had my homework - punctuated the air with a soothing calm, a reassuring cadence that underscored the rhythm of another ordinary day at school.",high,synthetic_adversarial,hard_prose_easy_concept,ood_adversarial,54,going to school,0,hard_prose_easy_concept,middle,high
