full_text,education_level,source_dataset,domain,orig_split,orig_idx,topic,variation
"At the zoo, you can see many different kinds of animals from all around the world. Some animals are big, some are small, some are colorful, and some are not so colorful. There are birds that fly and monkeys that swing from tree to tree. You might see a lion with a big mane or a giraffe with a long neck. The zookeepers take care of the animals and make sure they have food, water, and a safe place to live. They help the animals feel happy and healthy. When you visit the zoo, you can learn about all these amazing animals and see them up close.",elementary,synthetic,animals at the zoo,ood_synthetic,24,animals at the zoo,4
"When we talk about food, we often think about what we like to eat. But did you know that our favorite foods can remind us of happy memories? For me, my favorite food is pizza. I like it when my mom makes homemade pizza with melted cheese, juicy tomatoes, and yummy pepperoni slices. It smells so good in the kitchen when the pizza is baking in the oven. Sometimes I help her stretch the dough and spread the sauce. It's fun to make and eat together as a family. We have a special pizza party and laugh together while we wait for it to cook. It's a tasty treat that makes me feel happy and close to my family.",elementary,synthetic,my favorite food,ood_synthetic,25,my favorite food,0
"My favorite food is pizza. Pizza is a yummy flatbread that comes in many different flavors. Some pizzas are topped with melted cheese and pepperoni. Others have mushrooms, bell peppers, or olives. My favorite toppings are pepperoni and mushrooms. When I order a pizza, I like to ask for extra cheese. I like to eat pizza with my family on Friday nights. We sit around the table and share slices together. Some people eat their pizza by hand, but I like to use a fork and knife. Eating pizza with my family makes me feel happy and full.",elementary,synthetic,my favorite food,ood_synthetic,26,my favorite food,1
"When we eat different foods, we like some better than others. This is because our taste buds help us decide what tastes good. My favorite food is pizza. I like it because it's cheesy and has yummy toppings like pepperoni and mushrooms. My mom makes pizza at home on Fridays. She puts sauce on the dough, then adds cheese and toppings. I help put the toppings on. When it comes out of the oven, it's hot and smells so good. We eat it together as a family. Sometimes I like to eat leftovers the next day for lunch. Pizza is my favorite food because it's fun to make and eat.",elementary,synthetic,my favorite food,ood_synthetic,27,my favorite food,2
"When we eat different foods, we like some better than others. Our favorite foods make us happy and give us energy to play. Maybe your favorite food is pizza with melted cheese and yummy sauce. Or perhaps you like sandwiches with your favorite fillings like turkey or ham. Some kids love fruits like juicy apples or sweet grapes. Others enjoy vegetables like crunchy carrots or crispy lettuce. Even food from different countries can be a favorite, like tacos from Mexico or sushi from Japan. Everyone's favorite food is special and makes their taste buds dance with joy.",elementary,synthetic,my favorite food,ood_synthetic,28,my favorite food,3
"When we eat different foods, our favorite food might be one that makes us happy and feel full. Some people like pizza because they like the melted cheese and the sauce on top. Others like tacos because they like the crunchy shell and the yummy fillings like beans and chicken. My favorite food is a sandwich. I like it because I can put my favorite things inside, like ham, cheese, and lettuce. I also like eating it at a park or on a picnic with my family. Sometimes I like to make my own sandwich with help from a grown-up, it's fun to choose the bread and the fillings.",elementary,synthetic,my favorite food,ood_synthetic,29,my favorite food,4
"When we play with friends, we have fun together. We can play tag, and chase each other around in the backyard or park. Tag is a game where one person is ""it"" and has to catch the other players. We can also play hide-and-seek, where one person hides and the others have to find them. We can play board games or card games like Uno, and take turns rolling dice. Playing games together helps us learn to share, take turns, and be kind. We can also use our imagination to pretend and make up games, like having a pretend store or a pretend restaurant.",elementary,synthetic,playing with friends,ood_synthetic,30,playing with friends,0
"When we play with friends, we have fun and be happy together. Playing with friends helps us make new friends and be kind to them. We can play tag, hide and seek, or ride our bikes together. We can also play with blocks, dolls, or animals. Sometimes we share toys and take turns. Sharing with friends makes everyone happy. We can also help our friends when they need it, like if they fall down or need a hug. When we play together, we learn to be good friends and take care of each other. This helps us feel happy and loved.",elementary,synthetic,playing with friends,ood_synthetic,31,playing with friends,1
"When we play with friends, we have fun together. We can play tag, and chase each other around in the backyard or park. We can also play ball games, like catch or soccer. Sometimes we play with dolls or action figures, using our imaginations to make up stories. We can even have a picnic together, eating our favorite foods and drinks. Playing with friends helps us learn to share and take turns. It also helps us make new friends and feel happy when we're together. We can play outside, inside, or even in a sandbox or pool.",elementary,synthetic,playing with friends,ood_synthetic,32,playing with friends,2
"When we play with friends, we have fun and be happy together. Playing with friends helps us make new friends and be kind to them. We can play tag, hide and seek, or ride our bikes together. We can also play with blocks, dolls, or animals. Sometimes we share toys and take turns. Sharing with friends makes everyone feel happy and included. We learn to work together and use our imaginations. Playing with friends also helps us learn important skills like sharing, listening, and cooperation. It's a great way to have fun and make memories that last a long time.",elementary,synthetic,playing with friends,ood_synthetic,33,playing with friends,3
"When we play with friends, we have fun together. We can play tag, and chase each other around in the backyard or park. We can also play ball games, like catch or soccer. Sometimes we play with dolls or action figures, using our imaginations to make up stories. We can even have a picnic together, eating our favorite foods and drinks. Playing with friends helps us learn to share and take turns. It also helps us make new friends and feel happy when we're together. We can play outside, inside, or even in a sandbox or pool.",elementary,synthetic,playing with friends,ood_synthetic,34,playing with friends,4
"Imagine you are playing soccer with your friends on a sunny day. The field is big and green with white lines all around it. There are goals at each end of the field, one for each team. Your team has a goalkeeper who stands in front of their goal to stop the ball from going in. You kick the ball with your foot to make it roll or fly through the air to your friend on your team. If you kick the ball into the other team's goal, you score a point. But if you kick the ball out of bounds or the other team kicks it into your goal, the other team gets a turn.",elementary,synthetic,a soccer game,ood_synthetic,35,a soccer game,0
"Imagine you are playing soccer with your friends on a sunny day. The field is big and green with a big goal at each end. Two teams take turns playing offense and defense. One team kicks the ball to try and score, the other team tries to stop them. The player with the ball is called the midfielder. They run fast and kick the ball to their friends on the team to help them score. The goalkeeper is the player who guards the goal. They wear special gloves and try to catch the ball when it is kicked to them.",elementary,synthetic,a soccer game,ood_synthetic,36,a soccer game,1
"Imagine you are playing soccer with your friends on a sunny day. The field is big and green with a big goal at each end. Two teams take turns playing offense and defense. One team kicks the ball to try and score, the other team tries to stop them. The player with the ball is called the midfielder. They run fast and pass the ball to their friends on their team to help them get closer to the goal. If they kick the ball into the other team's goal, they score a point. The team with the most points at the end of the game wins.",elementary,synthetic,a soccer game,ood_synthetic,37,a soccer game,2
"Imagine you are playing soccer with your friends on a sunny day. The objective is to kick a ball into the other team's goal. Each team has players who take turns playing offense and defense. The offense tries to kick the ball into the goal, while the defense tries to stop them. The team with the most goals at the end of the game wins. A goalkeeper is a player who guards the goal and tries to catch the ball. Players can pass the ball to each other by kicking it or head it. They can also run quickly to get away from the other team.",elementary,synthetic,a soccer game,ood_synthetic,38,a soccer game,3
"Imagine you are playing soccer with your friends on a sunny day. The field is big and green with a big goal at each end. Two teams take turns playing offense and defense. One team kicks the ball to try and score, the other team tries to stop them. The player with the ball is called the midfielder. They run fast and pass the ball to their friends on their team to help them get closer to the goal. If they kick the ball into the other team's goal, they score a point. The team with the most points at the end of the game wins.",elementary,synthetic,a soccer game,ood_synthetic,39,a soccer game,4
"Imagine you're on a big adventure, traveling around the world to see how the Earth changes throughout the year. As you start at the North Pole, it's cold and snowy in the winter. The snowflakes fall gently from the sky, covering the trees and houses in a thick blanket of white. When you move to the equator, it's warm and sunny, and the trees grow leaves and flowers bloom. In the spring, the weather gets milder, and you see baby animals being born. Summer brings long, hot days and warm nights, perfect for swimming and playing outside. Finally, in the fall, the leaves change colors and fall off the trees, making a crunchy carpet under your feet.",elementary,synthetic,the four seasons of the year,ood_synthetic,40,the four seasons of the year,0
"Imagine you're outside playing with your friends on a sunny day. Do you feel warm? That's because it's summer. In summer, we have long days and warm weather, which means we can play outside with our friends and family. As the days get shorter, the weather starts to get cooler, and we know it's fall. Leaves change color and fall off the trees. When it's cold outside and snow starts to fall, it's winter. You can build snowmen and make snowballs with your friends. But as the days get longer again, the snow melts and flowers start to bloom, which means it's spring. Each season brings something new and fun to enjoy.",elementary,synthetic,the four seasons of the year,ood_synthetic,41,the four seasons of the year,1
"Imagine you're on a big adventure, traveling around the world to see how the Earth changes with the seasons. In the spring, the snow melts, and flowers start to grow. The air is filled with sweet smells and buzzing bees. Summer is warm and sunny, perfect for swimming and playing outside. In the fall, the leaves turn bright colors and fall off the trees, creating a crunchy carpet under our feet. Winter is cold and snowy, a great time for building snowmen and making snow angels. Each season brings its own special magic, and we love experiencing them all.",elementary,synthetic,the four seasons of the year,ood_synthetic,42,the four seasons of the year,2
"Imagine you're outside playing with your friends on a sunny day. Do you feel warm? That's because it's summer. In summer, we have long days and warm weather, which means we can play outside with our friends and family. As the days go by, the weather starts to change and the sun doesn't shine as bright. The leaves on the trees start to change colors and fall off, that's autumn. It gets even cooler and the days get shorter, that's winter. In the winter, it snows and we can make snowballs and snowmen. Eventually, the snow melts and the days get longer again, that's spring. It's a time of new life and we can see flowers blooming.",elementary,synthetic,the four seasons of the year,ood_synthetic,43,the four seasons of the year,3
"Imagine you're on a big adventure, traveling around the world to see how the Earth changes with the seasons. In the spring, the snow melts, and flowers start to grow. The air is filled with sweet smells and buzzing bees. Summer is warm and sunny, perfect for swimming and playing outside. In the fall, the leaves turn bright colors and fall off the trees, creating a crunchy carpet under our feet. Winter is cold and snowy, a great time for building snowmen and making snow angels. Each season brings its own special magic, and we love experiencing them all.",elementary,synthetic,the four seasons of the year,ood_synthetic,44,the four seasons of the year,4
"Do you like to do something just for fun? When you have a hobby, it's something you enjoy doing in your free time. Some people like to draw pictures, like a favorite animal or a happy house. Others like to play with pets, like a dog or a cat. You might like to build with blocks or play with Legos, making a tall castle or a cool spaceship. Some kids like to collect things, like stamps or rocks. Even gardening is a fun hobby, planting seeds and watching them grow into flowers or vegetables. You can pick a hobby that makes you happy and do it every day.",elementary,synthetic,my hobby,ood_synthetic,45,my hobby,0
"Do you like to do something just for fun? That's called a hobby. Everyone has a hobby, even grown-ups. Some people like to draw pictures, like a picture of their family or a happy animal. Others like to play with pets, like a dog or a cat. You might like to build with blocks or play with Legos, creating a tall castle or a cool spaceship. Some kids like to collect things, like stamps or rocks. Even gardening is a fun hobby, planting seeds and watching them grow into flowers or vegetables. We can pick a hobby that makes us happy and gives us something to do when we're not in school.",elementary,synthetic,my hobby,ood_synthetic,46,my hobby,1
"Do you like to do something just for fun? That's called a hobby. Everyone has a hobby, even grown-ups. Some people like to draw pictures, like a picture of their family or a happy animal. Others like to play with pets, like a dog or a cat. You might like to build with blocks or play with Legos, creating a tall castle or a cool spaceship. Some kids like to collect things, like stamps or rocks. Even gardening is a fun hobby, planting seeds and watching them grow into flowers or vegetables. We can pick a hobby that makes us happy and gives us something to do when we're not in school.",elementary,synthetic,my hobby,ood_synthetic,47,my hobby,2
"Do you like to do something just for fun? That's called a hobby. Everyone has a hobby, even grown-ups. Some people like to draw pictures, like a picture of their family or a happy animal. Others like to play with pets, like a dog or a cat. You might like to build with blocks or play with Legos, creating a tall castle or a cool spaceship. Some kids like to collect things, like stamps or rocks. Even gardening is a fun hobby, planting seeds and watching them grow into flowers or vegetables. We can pick a hobby that makes us happy and gives us something to do when we're not in school.",elementary,synthetic,my hobby,ood_synthetic,48,my hobby,3
"Do you like to do something just for fun? That's called a hobby. Everyone has a hobby, even grown-ups. Some people like to draw pictures, like a picture of their family or a happy animal. Others like to play with pets, like a dog or a cat. You might like to build with blocks or play with Legos, creating a tall castle or a cool spaceship. Some kids like to collect things, like stamps or rocks. Even gardening is a fun hobby, planting seeds and watching them grow into flowers or vegetables. You can pick a hobby that makes you happy and do it every day.",elementary,synthetic,my hobby,ood_synthetic,49,my hobby,4
"Plants are incredible organisms that not only make their own food but also provide oxygen for many living things on Earth. This process, called photosynthesis, is how plants turn sunlight, water, and a gas called carbon dioxide into a type of sugar that gives them energy. The leaves of plants contain tiny things called chloroplasts which contain a green pigment called chlorophyll, that captures the energy from sunlight. This energy is then used to convert the water and carbon dioxide into oxygen, which is released into the air, and glucose, a type of sugar that gives plants the energy they need to grow and thrive. Without photosynthesis, plants would not be able to survive.",middle,synthetic,photosynthesis in plants,ood_synthetic,50,photosynthesis in plants,0
"Plants are incredible organisms that can turn sunlight into a source of energy, a process known as photosynthesis. This complex process occurs in specialized organelles within plant cells called chloroplasts, which contain a green pigment called chlorophyll. Chlorophyll plays a crucial role in absorbing light energy from the sun, which is then used to convert carbon dioxide from the air into glucose, a type of sugar that gives plants the energy they need to grow. As a byproduct, plants release oxygen into the atmosphere, which is essential for the survival of many living organisms, including humans and animals, who use oxygen to breathe. This vital process supports life on Earth.",middle,synthetic,photosynthesis in plants,ood_synthetic,51,photosynthesis in plants,1
"Plants are incredible organisms that can turn sunlight into a source of energy, a process known as photosynthesis. This complex process occurs in specialized organelles within plant cells called chloroplasts, which contain a green pigment called chlorophyll. Chlorophyll plays a crucial role in absorbing light energy from the sun, which is then used to convert carbon dioxide from the air into glucose, a type of sugar that gives plants the energy they need to grow. As a byproduct, plants release oxygen into the air, which is essential for the survival of many living organisms, including humans and animals, who use oxygen to breathe. This vital process supports life on Earth.",middle,synthetic,photosynthesis in plants,ood_synthetic,52,photosynthesis in plants,2
"Plants are incredible organisms that produce their own food through a process called photosynthesis. This process relies on sunlight, water, and a gas called carbon dioxide from the air to create glucose, a type of sugar that serves as energy for the plant. During photosynthesis, plants release oxygen as a byproduct, which is essential for the survival of animals, including humans, as we need oxygen to breathe. The process also involves chlorophyll, a green pigment found in plant cells, that helps absorb sunlight and transfer energy to the plant's food-making machinery. This vital process supports life on Earth and is a key part of the ecosystem.",middle,synthetic,photosynthesis in plants,ood_synthetic,53,photosynthesis in plants,3
"Plants are incredible organisms that produce their own food through a process called photosynthesis. This process relies on sunlight, water, and a gas called carbon dioxide from the air to create glucose, a type of sugar that serves as energy for the plant. During photosynthesis, plants release oxygen as a byproduct, which is essential for the survival of animals, including humans, as we need oxygen to breathe. The process also involves chlorophyll, a green pigment found in plant cells, that helps absorb sunlight and transfer energy to the plant's food-making machinery. This vital process supports life on Earth and is a key part of the ecosystem.",middle,synthetic,photosynthesis in plants,ood_synthetic,54,photosynthesis in plants,4
"The water cycle is a vital process that sustains life on Earth, and it's happening all around us constantly. It's a never-ending journey of water molecules moving from the Earth to the air and back again. Water from the oceans, lakes, and rivers evaporates into the air as water vapor, a gas that we can't see. This process is called evaporation, and it occurs when the water is heated by the sun's energy. As the water vapor rises into the air, it cools down and condenses into tiny droplets, forming clouds. Eventually, these droplets become too heavy to stay suspended in the air, and they fall back to the Earth as precipitation, such as rain or snow, which then flows back into the oceans, lakes, and rivers to start the cycle over again.",middle,synthetic,the water cycle on Earth,ood_synthetic,55,the water cycle on Earth,0
"The water cycle is a vital process that sustains life on Earth, and it's happening all around us constantly. It's a never-ending journey of water movement between the oceans, atmosphere, and land. The cycle begins when the sun heats up the ocean water, turning it into water vapor, which rises into the atmosphere as gas. As the water vapor cools, it condenses into tiny droplets, forming clouds. When these clouds become too heavy with water, they release their burden as precipitation - rain, snow, or hail - back to the Earth's surface. Some of this water flows across the land as runoff, eventually returning to the ocean, where the cycle starts all over again.",middle,synthetic,the water cycle on Earth,ood_synthetic,56,the water cycle on Earth,1
"The water cycle is a vital process that sustains life on Earth, and it's happening all around us constantly. It's a never-ending journey of water movement between the oceans, atmosphere, and land. The cycle begins when the sun heats up the ocean water, turning it into water vapor, which rises into the atmosphere as gas. As the water vapor cools, it condenses into tiny droplets, forming clouds. When these clouds become too heavy with water, they release their burden as precipitation - rain, snow, or hail - back to the Earth's surface. Some of this water flows across the land as runoff, eventually returning to the ocean, where the cycle starts all over again.",middle,synthetic,the water cycle on Earth,ood_synthetic,57,the water cycle on Earth,2
"The water cycle is a vital process that sustains life on Earth, and it's happening all around us constantly. It's a never-ending journey of water movement between the oceans, atmosphere, and land. Water evaporates from the oceans, lakes, and rivers into the air as water vapor, forming clouds. As the clouds get heavy with water, they release it back to the Earth as precipitation, which can be in the form of rain, snow, sleet, or hail. Once the precipitation reaches the land, some of it seeps into the soil, recharging groundwater that plants and animals need to survive. The water cycle is essential for replenishing our water sources and keeping our planet healthy.",middle,synthetic,the water cycle on Earth,ood_synthetic,58,the water cycle on Earth,3
"The water cycle is a vital process that sustains life on Earth, and it's happening all around us constantly. It's a never-ending journey of water movement between the oceans, atmosphere, and land. Water evaporates from the oceans, lakes, and rivers into the air as water vapor, forming clouds. As the clouds get heavy with water, they release it back to the Earth as precipitation, which can be in the form of rain, snow, sleet, or hail. Once the precipitation reaches the land, some of it seeps into the soil, recharging groundwater that plants and animals need to survive. The water cycle is essential for replenishing our water sources and keeping our planet healthy.",middle,synthetic,the water cycle on Earth,ood_synthetic,59,the water cycle on Earth,4
"World War II was a global conflict that began in 1939 and lasted six long years, ending in 1945. It involved most of the world's countries, with two main opposing groups: the Allies, which included the United States, Britain, and the Soviet Union, and the Axis, which consisted of Germany, Italy, and Japan. The war started when Germany, led by Adolf Hitler, invaded Poland, prompting the Allies to declare war. As the war spread, it became a fight for freedom, with the Allies resisting Nazi and Fascist ideologies that sought to dominate and oppress people worldwide. The Allies ultimately prevailed, but not before millions of people lost their lives in the war.",middle,synthetic,an overview of World War II,ood_synthetic,60,an overview of World War II,0
"World War II was a global conflict that lasted from 1939 to 1945 and involved more than 30 countries from every continent. It was a complex and multifaceted war that was fought on land, sea, and air, with various nations and factions vying for power and control. The war was sparked by the aggressive expansion of Nazi Germany, led by Adolf Hitler, who sought to create a vast empire in Europe. As Germany invaded neighboring countries, a coalition of nations including the United States, the United Kingdom, and the Soviet Union formed the Allies, determined to stop Hitler's aggressive plans.",middle,synthetic,an overview of World War II,ood_synthetic,61,an overview of World War II,1
"World War II was a global conflict that lasted from 1939 to 1945 and involved more than 30 countries from every continent. It was a complex and multifaceted war that was fought on land, sea, and air, with various nations and factions vying for power and control. The war was sparked by the aggressive expansion of Nazi Germany, led by Adolf Hitler, who sought to create a vast empire in Europe. As Germany invaded neighboring countries, a coalition of nations including the United States, the United Kingdom, and the Soviet Union formed the Allies, determined to stop Hitler's aggressive plans and protect democracy and freedom.",middle,synthetic,an overview of World War II,ood_synthetic,62,an overview of World War II,2
"World War II was a global conflict that lasted from 1939 to 1945 and involved more than 30 countries from every continent. It was a complex and multifaceted war that was fought on land, sea, and air, with various nations and factions vying for power and control. The war was sparked by the aggressive expansion of Nazi Germany, led by Adolf Hitler, who sought to create a vast empire in Europe. As Germany invaded neighboring countries, a coalition of nations including the United States, the United Kingdom, and the Soviet Union formed the Allies, determined to stop Hitler's aggressive plans and protect democracy and freedom.",middle,synthetic,an overview of World War II,ood_synthetic,63,an overview of World War II,3
