question,choices,solution,lecture,full_text,text_question,text_solution,text_lecture,education_level,grade,subject,topic,category
What is the mass of a small candy bar?,['30 kilograms' '30 grams'],"The better estimate for the mass of a small candy bar is 30 grams.
30 kilograms is too heavy.","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Mass is a measurement of how much matter something contains.
There are many different units of mass. When you are using metric units, mass may be written with units of grams or kilograms.
There are 1,000 grams in 1 kilogram. So, 1 gram is much less than 1 kilogram.
A paper clip has a mass of about 1 gram, while a textbook has a mass of about 1 kilogram.","What is the mass of a small candy bar? 30 kilograms 30 grams The better estimate for the mass of a small candy bar is 30 grams.
30 kilograms is too heavy. Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Mass is a measurement of how much matter something contains.
There are many different units of mass. When you are using metric units, mass may be written with units of grams or kilograms.
There are 1,000 grams in 1 kilogram. So, 1 gram is much less than 1 kilogram.
A paper clip has a mass of about 1 gram, while a textbook has a mass of about 1 kilogram.",What is the mass of a small candy bar?,"The better estimate for the mass of a small candy bar is 30 grams.
30 kilograms is too heavy.","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Mass is a measurement of how much matter something contains.
There are many different units of mass. When you are using metric units, mass may be written with units of grams or kilograms.
There are 1,000 grams in 1 kilogram. So, 1 gram is much less than 1 kilogram.
A paper clip has a mass of about 1 gram, while a textbook has a mass of about 1 kilogram.",elementary,grade5,natural science,units-and-measurement,Units and measurement
"Complete the sentence so that it uses personification.
""I can't believe I tripped,"" Austin remarked. ""The curb must have ()"".",['jumped out in front of me' 'been higher than I thought'],"Complete the sentence with the phrase jumped out in front of me. It describes the curb as if it were a mischievous, unpredictable person.","Personification is giving human characteristics to nonhuman things. It is a figure of speech that can be used to make writing more interesting or to emphasize a point.
The trees danced in the wind.
The word danced describes the trees as if they were people. Unlike people, however, trees can't actually dance. Instead, the personification suggests that the trees are moving.","Complete the sentence so that it uses personification.
""I can't believe I tripped,"" Austin remarked. ""The curb must have ()"". jumped out in front of me been higher than I thought Complete the sentence with the phrase jumped out in front of me. It describes the curb as if it were a mischievous, unpredictable person. Personification is giving human characteristics to nonhuman things. It is a figure of speech that can be used to make writing more interesting or to emphasize a point.
The trees danced in the wind.
The word danced describes the trees as if they were people. Unlike people, however, trees can't actually dance. Instead, the personification suggests that the trees are moving.","Complete the sentence so that it uses personification.
""I can't believe I tripped,"" Austin remarked. ""The curb must have ()"".","Complete the sentence with the phrase jumped out in front of me. It describes the curb as if it were a mischievous, unpredictable person.","Personification is giving human characteristics to nonhuman things. It is a figure of speech that can be used to make writing more interesting or to emphasize a point.
The trees danced in the wind.
The word danced describes the trees as if they were people. Unlike people, however, trees can't actually dance. Instead, the personification suggests that the trees are moving.",high,grade9,language science,writing-strategies,Creative techniques
Which is a run-on sentence?,"['The child chews her food carefully.'
 'The park is a beautiful place, everyone goes there.']","The park is a beautiful place, everyone goes there is a run-on sentence. It has two sentences that are joined by just a comma: The park is a beautiful place and Everyone goes there.","A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.","Which is a run-on sentence? The child chews her food carefully. The park is a beautiful place, everyone goes there. The park is a beautiful place, everyone goes there is a run-on sentence. It has two sentences that are joined by just a comma: The park is a beautiful place and Everyone goes there. A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.",Which is a run-on sentence?,"The park is a beautiful place, everyone goes there is a run-on sentence. It has two sentences that are joined by just a comma: The park is a beautiful place and Everyone goes there.","A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.",elementary,grade3,language science,writing-strategies,"Sentences, fragments, and run-ons"
"Which logical fallacy is used in the text?
Mayor Stanley wants to create more bicycle lanes in Fairview. However, many citizens of Fairview live far from work. It would not be realistic to force us to give up our cars and bike everywhere.","['circular reasoning: an argument that supports a claim with the claim itself'
 ""straw man: a misrepresentation of an opponent's position that makes it easier to argue against""
 'false causation: the assumption that because two things happened together, one caused the other']","The text argues that Mayor Stanley wants people to give up their cars. However, this misrepresents Mayor Stanley's argument. Mayor Stanley only wants to create more bike lanes. This illustrates a type of logical fallacy known as a straw man.","A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
","Which logical fallacy is used in the text?
Mayor Stanley wants to create more bicycle lanes in Fairview. However, many citizens of Fairview live far from work. It would not be realistic to force us to give up our cars and bike everywhere. circular reasoning: an argument that supports a claim with the claim itself straw man: a misrepresentation of an opponent's position that makes it easier to argue against false causation: the assumption that because two things happened together, one caused the other The text argues that Mayor Stanley wants people to give up their cars. However, this misrepresents Mayor Stanley's argument. Mayor Stanley only wants to create more bike lanes. This illustrates a type of logical fallacy known as a straw man. A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
","Which logical fallacy is used in the text?
Mayor Stanley wants to create more bicycle lanes in Fairview. However, many citizens of Fairview live far from work. It would not be realistic to force us to give up our cars and bike everywhere.","The text argues that Mayor Stanley wants people to give up their cars. However, this misrepresents Mayor Stanley's argument. Mayor Stanley only wants to create more bike lanes. This illustrates a type of logical fallacy known as a straw man.","A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",high,grade11,language science,writing-strategies,Developing and supporting arguments
"Which figure of speech is used in this text?
Kamal returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield.",['oxymoron' 'euphemism'],"The text uses an oxymoron, a joining of two seemingly contradictory terms.
Somewhat destroyed is a contradiction, because somewhat means partially or moderately, and destroyed implies totally wrecked.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.","Which figure of speech is used in this text?
Kamal returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield. oxymoron euphemism The text uses an oxymoron, a joining of two seemingly contradictory terms.
Somewhat destroyed is a contradiction, because somewhat means partially or moderately, and destroyed implies totally wrecked. Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.","Which figure of speech is used in this text?
Kamal returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield.","The text uses an oxymoron, a joining of two seemingly contradictory terms.
Somewhat destroyed is a contradiction, because somewhat means partially or moderately, and destroyed implies totally wrecked.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.",high,grade9,language science,figurative-language,Literary devices
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Pam, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""","['Pam wants to protect her possessions.'
 'Pam thinks the storm will cause major flooding.']","The text uses an allusion, a brief reference to someone or something well known.
The allusion to an ark suggests that Pam thinks the storm will cause major flooding. In the Bible, it rains for forty days and forty nights; Noah, his family, and animals of every species survive the great flood in an ark that he builds.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.","What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Pam, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here."" Pam wants to protect her possessions. Pam thinks the storm will cause major flooding. The text uses an allusion, a brief reference to someone or something well known.
The allusion to an ark suggests that Pam thinks the storm will cause major flooding. In the Bible, it rains for forty days and forty nights; Noah, his family, and animals of every species survive the great flood in an ark that he builds. Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.","What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Pam, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""","The text uses an allusion, a brief reference to someone or something well known.
The allusion to an ark suggests that Pam thinks the storm will cause major flooding. In the Bible, it rains for forty days and forty nights; Noah, his family, and animals of every species survive the great flood in an ark that he builds.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.",high,grade11,language science,figurative-language,Literary devices
Which sentence states a fact?,"['More people visited Great Smoky Mountains National Park in 2014 than visited Yosemite and Yellowstone combined.'
 'Great Smoky Mountains National Park is fantastic because it has 150 official hiking trails.']","The first sentence states a fact. It can be verified by comparing the number of visitors to U.S. national parks in 2014.
More people visited Great Smoky Mountains National Park in 2014 than visited Yosemite and Yellowstone combined.
The second sentence states an opinion. Fantastic indicates a personal judgment.
Great Smoky Mountains National Park is fantastic because it has 150 official hiking trails.","Statements of fact make claims that are based on research, observation, or experimentation. Facts can be proved with evidence.
Napoleon Bonaparte was shorter than King Louis XVI.
This statement is a fact. The statement can be verified by researching and comparing the height of each man.
Statements of opinion make claims that are based on personal judgments or perspectives. Opinions can be supported by evidence, but they cannot be definitively proved.
Napoleon Bonaparte was a better leader than King Louis XVI.
This statement is an opinion. People can have different ideas about what makes someone a ""better"" leader, so the statement cannot be proved.","Which sentence states a fact? More people visited Great Smoky Mountains National Park in 2014 than visited Yosemite and Yellowstone combined. Great Smoky Mountains National Park is fantastic because it has 150 official hiking trails. The first sentence states a fact. It can be verified by comparing the number of visitors to U.S. national parks in 2014.
More people visited Great Smoky Mountains National Park in 2014 than visited Yosemite and Yellowstone combined.
The second sentence states an opinion. Fantastic indicates a personal judgment.
Great Smoky Mountains National Park is fantastic because it has 150 official hiking trails. Statements of fact make claims that are based on research, observation, or experimentation. Facts can be proved with evidence.
Napoleon Bonaparte was shorter than King Louis XVI.
This statement is a fact. The statement can be verified by researching and comparing the height of each man.
Statements of opinion make claims that are based on personal judgments or perspectives. Opinions can be supported by evidence, but they cannot be definitively proved.
Napoleon Bonaparte was a better leader than King Louis XVI.
This statement is an opinion. People can have different ideas about what makes someone a ""better"" leader, so the statement cannot be proved.",Which sentence states a fact?,"The first sentence states a fact. It can be verified by comparing the number of visitors to U.S. national parks in 2014.
More people visited Great Smoky Mountains National Park in 2014 than visited Yosemite and Yellowstone combined.
The second sentence states an opinion. Fantastic indicates a personal judgment.
Great Smoky Mountains National Park is fantastic because it has 150 official hiking trails.","Statements of fact make claims that are based on research, observation, or experimentation. Facts can be proved with evidence.
Napoleon Bonaparte was shorter than King Louis XVI.
This statement is a fact. The statement can be verified by researching and comparing the height of each man.
Statements of opinion make claims that are based on personal judgments or perspectives. Opinions can be supported by evidence, but they cannot be definitively proved.
Napoleon Bonaparte was a better leader than King Louis XVI.
This statement is an opinion. People can have different ideas about what makes someone a ""better"" leader, so the statement cannot be proved.",high,grade12,language science,writing-strategies,Developing and supporting arguments
Which text uses the word literally in its traditional sense?,"[""The curry that the chef prepared was so spicy that Matt's mouth was literally on fire by the time he finished his meal.""
 'The curry that the chef prepared was so spicy that Matt literally had to drink three glasses of milk to ease the pain.']","The first text uses literally in its traditional sense: in a factual, non-exaggerated way.
The curry that the chef prepared was so spicy that Matt literally had to drink three glasses of milk to ease the pain.
The second text uses literally in its nontraditional sense: nearly or in effect (often exaggerated). Matt's mouth may be in pain, but it is not actually on fire.
The curry that the chef prepared was so spicy that Matt's mouth was literally on fire by the time he finished his meal.
Most style guides recommend to avoid using the nontraditional sense of the word literally because it is generally considered incorrect.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.","Which text uses the word literally in its traditional sense? The curry that the chef prepared was so spicy that Matt's mouth was literally on fire by the time he finished his meal. The curry that the chef prepared was so spicy that Matt literally had to drink three glasses of milk to ease the pain. The first text uses literally in its traditional sense: in a factual, non-exaggerated way.
The curry that the chef prepared was so spicy that Matt literally had to drink three glasses of milk to ease the pain.
The second text uses literally in its nontraditional sense: nearly or in effect (often exaggerated). Matt's mouth may be in pain, but it is not actually on fire.
The curry that the chef prepared was so spicy that Matt's mouth was literally on fire by the time he finished his meal.
Most style guides recommend to avoid using the nontraditional sense of the word literally because it is generally considered incorrect. Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",Which text uses the word literally in its traditional sense?,"The first text uses literally in its traditional sense: in a factual, non-exaggerated way.
The curry that the chef prepared was so spicy that Matt literally had to drink three glasses of milk to ease the pain.
The second text uses literally in its nontraditional sense: nearly or in effect (often exaggerated). Matt's mouth may be in pain, but it is not actually on fire.
The curry that the chef prepared was so spicy that Matt's mouth was literally on fire by the time he finished his meal.
Most style guides recommend to avoid using the nontraditional sense of the word literally because it is generally considered incorrect.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",high,grade12,language science,writing-strategies,Word usage and nuance
"Which logical fallacy is used in the text?
The thing that makes Hassan stand out as a remarkable cellist is that he's a marvelous musician who plays the cello splendidly.","['appeal to nature: the assumption that natural things are always good'
 'circular reasoning: an argument that supports a claim with the claim itself'
 'slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences']","The text argues that Hassan is a remarkable cellist because he plays the cello well. However, the ""evidence"" is just a restatement of the claim itself. This illustrates a type of logical fallacy known as circular reasoning.","A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
","Which logical fallacy is used in the text?
The thing that makes Hassan stand out as a remarkable cellist is that he's a marvelous musician who plays the cello splendidly. appeal to nature: the assumption that natural things are always good circular reasoning: an argument that supports a claim with the claim itself slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences The text argues that Hassan is a remarkable cellist because he plays the cello well. However, the ""evidence"" is just a restatement of the claim itself. This illustrates a type of logical fallacy known as circular reasoning. A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
","Which logical fallacy is used in the text?
The thing that makes Hassan stand out as a remarkable cellist is that he's a marvelous musician who plays the cello splendidly.","The text argues that Hassan is a remarkable cellist because he plays the cello well. However, the ""evidence"" is just a restatement of the claim itself. This illustrates a type of logical fallacy known as circular reasoning.","A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",high,grade10,language science,writing-strategies,Developing and supporting arguments
"What does the verbal irony in this text suggest?
According to Mr. Lam's kids, his snoring is as quiet as a jackhammer.",['The snoring is subtle.' 'The snoring is loud.'],"The text uses verbal irony, which involves saying one thing but implying something very different.
As quiet as a jackhammer suggests that the snoring is loud. A jackhammer is not quiet, and neither is Mr. Lam's snoring.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.","What does the verbal irony in this text suggest?
According to Mr. Lam's kids, his snoring is as quiet as a jackhammer. The snoring is subtle. The snoring is loud. The text uses verbal irony, which involves saying one thing but implying something very different.
As quiet as a jackhammer suggests that the snoring is loud. A jackhammer is not quiet, and neither is Mr. Lam's snoring. Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.","What does the verbal irony in this text suggest?
According to Mr. Lam's kids, his snoring is as quiet as a jackhammer.","The text uses verbal irony, which involves saying one thing but implying something very different.
As quiet as a jackhammer suggests that the snoring is loud. A jackhammer is not quiet, and neither is Mr. Lam's snoring.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.",middle,grade6,language science,figurative-language,Literary devices
"Which figure of speech is used in this text?
Do not go gentle into that good night,
Old age should burn and rave at close of day;
Rage, rage against the dying of the light.
—Dylan Thomas, ""Do not go gentle into that good night""",['assonance' 'apostrophe'],"The text uses assonance, the repetition of a vowel sound in a series of nearby words.
The words age, rave, day, and rage share a vowel sound.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Anaphora is the repetition of the same word or words at the beginning of several phrases or clauses.
We are united. We are powerful. We are winners.
Antithesis involves contrasting opposing ideas within a parallel grammatical structure.
I want to help, not to hurt.
Apostrophe is a direct address to an absent person or a nonhuman entity.
Oh, little bird, what makes you sing so beautifully?
Assonance is the repetition of a vowel sound in a series of nearby words.
Try to light the fire.
Chiasmus is an expression in which the second half parallels the first but reverses the order of words.
Never let a fool kiss you or a kiss fool you.
Understatement involves deliberately representing something as less serious or important than it really is.
As you know, it can get a little cold in the Antarctic.","Which figure of speech is used in this text?
Do not go gentle into that good night,
Old age should burn and rave at close of day;
Rage, rage against the dying of the light.
—Dylan Thomas, ""Do not go gentle into that good night"" assonance apostrophe The text uses assonance, the repetition of a vowel sound in a series of nearby words.
The words age, rave, day, and rage share a vowel sound. Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Anaphora is the repetition of the same word or words at the beginning of several phrases or clauses.
We are united. We are powerful. We are winners.
Antithesis involves contrasting opposing ideas within a parallel grammatical structure.
I want to help, not to hurt.
Apostrophe is a direct address to an absent person or a nonhuman entity.
Oh, little bird, what makes you sing so beautifully?
Assonance is the repetition of a vowel sound in a series of nearby words.
Try to light the fire.
Chiasmus is an expression in which the second half parallels the first but reverses the order of words.
Never let a fool kiss you or a kiss fool you.
Understatement involves deliberately representing something as less serious or important than it really is.
As you know, it can get a little cold in the Antarctic.","Which figure of speech is used in this text?
Do not go gentle into that good night,
Old age should burn and rave at close of day;
Rage, rage against the dying of the light.
—Dylan Thomas, ""Do not go gentle into that good night""","The text uses assonance, the repetition of a vowel sound in a series of nearby words.
The words age, rave, day, and rage share a vowel sound.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Anaphora is the repetition of the same word or words at the beginning of several phrases or clauses.
We are united. We are powerful. We are winners.
Antithesis involves contrasting opposing ideas within a parallel grammatical structure.
I want to help, not to hurt.
Apostrophe is a direct address to an absent person or a nonhuman entity.
Oh, little bird, what makes you sing so beautifully?
Assonance is the repetition of a vowel sound in a series of nearby words.
Try to light the fire.
Chiasmus is an expression in which the second half parallels the first but reverses the order of words.
Never let a fool kiss you or a kiss fool you.
Understatement involves deliberately representing something as less serious or important than it really is.
As you know, it can get a little cold in the Antarctic.",high,grade12,language science,figurative-language,Literary devices
