question,answer,grade_level
How many days does Earth take to orbit the Sun?,About 365 days.,elementary
What is a habitat?,"The natural home or environment of an animal, plant, or other organism.",elementary
What do you call an animal that eats both plants and meat?,An omnivore.,elementary
What is the smallest planet in our solar system?,Mercury.,elementary
How many bones are in a shark's body?,Sharks have no bones; they have cartilage.,elementary
What is the main difference between a reptile and an amphibian?,Reptiles have scaly skin and lay eggs on land; amphibians have smooth skin and live both in water and on land.,elementary
How does photosynthesis convert light energy into chemical energy?,"Photosynthesis uses light energy to combine carbon dioxide and water into glucose and oxygen, storing energy in glucose bonds.",middle
Compare the circulatory system of a fish and a mammal.,Fish have a single-loop circulatory system (heart -> gills -> body -> heart) while mammals have a double-loop system (pulmonary and systemic circuits).,middle
What role do decomposers play in an ecosystem?,"Decomposers break down dead organisms and waste, returning nutrients to the soil for plants to use.",middle
Explain why leaves change color in autumn.,"As days shorten and temperatures drop, chlorophyll breaks down, revealing other pigments (carotenoids, anthocyanins) that were masked.",middle
How does the structure of a bird's wing help it fly?,"The curved upper surface and flat lower surface create lift due to Bernoulli's principle, and the lightweight bones and feathers reduce weight.",middle
What is the difference between a food chain and a food web?,"A food chain shows a single path of energy transfer, while a food web shows interconnected food chains in an ecosystem.",middle
How do plants respond to gravity?,"Roots grow downward (positive geotropism) and stems grow upward (negative geotropism), guided by auxin distribution.",middle
What causes the phases of the Moon?,The Moon's orbit around Earth and the changing angles of sunlight reflection create the phases.,middle
Explain how a fossil forms.,"An organism dies, is buried by sediment, and over time minerals replace the organic material, creating a rock-like copy.",middle
How do antibiotics work against bacteria?,"Antibiotics disrupt bacterial cell walls, protein synthesis, or DNA replication, killing the bacteria or stopping their growth.",middle
What is the role of the ozone layer?,"The ozone layer absorbs most of the Sun's harmful ultraviolet radiation, protecting living organisms.",middle
Compare mitosis and meiosis.,Mitosis produces two identical daughter cells for growth and repair; meiosis produces four genetically diverse gametes for reproduction.,middle
How does deforestation affect the carbon cycle?,"Deforestation reduces photosynthesis, increasing atmospheric CO2, and releases stored carbon when trees are burned or decay.",middle
What is an adaptation? Give an example.,An adaptation is a trait that helps an organism survive. Example: camouflage in chameleons to hide from predators.,middle
Explain the difference between weather and climate.,Weather is short-term atmospheric conditions; climate is long-term average weather patterns over decades.,middle
How do vaccines work?,"Vaccines introduce a harmless part of a pathogen to stimulate the immune system to produce antibodies, creating memory cells for future protection.",middle
What causes ocean tides?,"Tides are caused by the gravitational pull of the Moon and Sun on Earth's oceans, combined with Earth's rotation.",middle
Compare the respiratory systems of humans and insects.,Humans use lungs for gas exchange; insects use a tracheal system of tubes that deliver oxygen directly to tissues.,middle
Why are rainforests important for global biodiversity?,"Rainforests host more species per area than any other biome due to stable warm, wet conditions and complex stratification.",middle
What is the function of the mitochondria in a cell?,Mitochondria generate energy (ATP) through cellular respiration.,middle
How does a seed germinate?,"The seed absorbs water, the embryo activates enzymes to break down stored food, and the radicle emerges, followed by the shoot.",middle
What is the greenhouse effect?,"The greenhouse effect is the trapping of heat by greenhouse gases (CO2, methane) in the atmosphere, keeping Earth warm.",middle
Explain why some animals migrate.,"Animals migrate to find food, better climate, or breeding grounds, often seasonally.",middle
What is the difference between a producer and a consumer in an ecosystem?,"Producers make their own food (e.g., plants via photosynthesis); consumers eat other organisms.",middle
How do geckos climb walls?,"Geckos have millions of tiny hairs (setae) on their feet that create van der Waals forces, allowing adhesion.",middle
What is the water cycle?,"The water cycle describes the continuous movement of water through evaporation, condensation, precipitation, and runoff.",middle
Compare the structure of DNA and RNA.,DNA is double-stranded with deoxyribose and thymine; RNA is single-stranded with ribose and uracil.,middle
How does a butterfly's proboscis work?,"The proboscis is a long, coiled tube that uncoils to suck nectar from flowers using capillary action and muscle contraction.",middle
What is the main cause of earthquakes?,"Earthquakes occur due to sudden movement along faults in the Earth's crust, caused by plate tectonics.",middle
Why do we have different blood types?,"Blood types are determined by antigens on red blood cells; the immune system attacks foreign antigens, requiring compatibility for transfusions.",middle
What is an invasive species? Give an example.,An invasive species is non-native and causes harm to the ecosystem. Example: zebra mussels in the Great Lakes.,middle
How does a tree transport water from roots to leaves?,Water moves through xylem vessels via transpiration pull: evaporation from leaves creates negative pressure that pulls water upward.,middle
Explain the difference between a renewable and nonrenewable resource.,"Renewable resources can be replenished naturally (e.g., solar, wind); nonrenewable are finite (e.g., coal, oil).",middle
What is the function of the chloroplast?,"Chloroplasts conduct photosynthesis, converting light energy into chemical energy in plants.",middle
How do fish maintain buoyancy?,"Many fish have a swim bladder that adjusts gas volume to match water density, controlling depth.",middle
What causes acid rain?,Acid rain is caused by sulfur dioxide and nitrogen oxides from burning fossil fuels reacting with water vapor in the atmosphere.,middle
Compare the nervous and endocrine systems.,The nervous system sends fast electrical signals via neurons; the endocrine system sends slower chemical signals via hormones in the blood.,middle
Why do some plants have thorns?,Thorns are adaptations to deter herbivores from eating the plant.,middle
What is the difference between a comet and an asteroid?,"Comets are icy bodies with tails when near the Sun; asteroids are rocky or metallic, mostly in the asteroid belt.",middle
How does natural selection work?,"Individuals with advantageous traits are more likely to survive and reproduce, passing those traits to the next generation.",middle
What is the role of the kidney in homeostasis?,"Kidneys filter blood, regulate water and electrolyte balance, remove waste, and maintain pH.",middle
Explain why the sky appears blue.,Rayleigh scattering: shorter blue wavelengths scatter more than longer red wavelengths when sunlight interacts with air molecules.,middle
How do coral reefs form?,"Coral reefs form from the calcium carbonate skeletons of coral polyps, growing in warm, shallow, clear water.",middle
What is the difference between a virus and a bacterium?,Bacteria are living single-celled organisms; viruses are non-living and require a host cell to replicate.,middle
How does a plant reproduce asexually?,"Through runners (e.g., strawberries), tubers (potatoes), bulbs, or cuttings that grow into new plants.",middle
What is the carbon cycle?,"The carbon cycle describes the movement of carbon through the atmosphere, oceans, living organisms, and Earth's crust via processes like photosynthesis, respiration, and decomposition.",middle
Explain how a lightning bolt forms.,"Charge separation in storm clouds creates an electric field; when the field is strong, a stepped leader ionizes the air, followed by a return stroke.",middle
What is the primary function of red blood cells?,Red blood cells transport oxygen from the lungs to tissues and carry carbon dioxide back.,middle
How do bees communicate the location of food?,Honeybees perform a waggle dance that encodes distance and direction relative to the sun.,middle
What is eutrophication?,"Eutrophication is excessive nutrient (nitrogen, phosphorus) enrichment of water bodies, causing algal blooms and oxygen depletion.",middle
Why is biodiversity important?,"Biodiversity enhances ecosystem resilience, provides ecosystem services (pollination, nutrient cycling), and has intrinsic value.",middle
Explain the concept of carrying capacity.,Carrying capacity is the maximum population size an environment can sustain indefinitely given available resources.,middle
What is the function of the myelin sheath?,"The myelin sheath insulates axons, speeding up electrical impulse transmission along neurons.",middle
How does CRISPR-Cas9 edit genes?,"CRISPR uses a guide RNA to target a specific DNA sequence, and Cas9 enzyme cuts the DNA; repair mechanisms insert or delete genes.",high
Describe the role of auxin in phototropism.,"Auxin accumulates on the shaded side of a plant stem, stimulating cell elongation and bending the plant toward light.",high
Compare the lac operon in E. coli in the presence and absence of lactose.,"Without lactose, the lac repressor binds to the operator, blocking transcription. With lactose, allolactose binds the repressor, allowing transcription.",high
How does the electron transport chain generate ATP?,"Electrons transfer through protein complexes, pumping protons across the inner mitochondrial membrane; the proton gradient drives ATP synthase to produce ATP.",high
What is the Hardy-Weinberg equilibrium? State its assumptions.,"Hardy-Weinberg equilibrium describes allele frequencies that remain constant in a population if no evolution occurs. Assumptions: large population, random mating, no mutation, no gene flow, no natural selection.",high
Explain how HIV evades the immune system.,"HIV mutates rapidly, has a latent stage integrating into host DNA, and infects CD4+ T cells, weakening adaptive immunity.",high
What is the significance of the Krebs cycle in cellular respiration?,"The Krebs cycle oxidizes acetyl-CoA to CO2, generating NADH and FADH2, which feed into the electron transport chain for ATP production.",high
Describe the mechanism of action of competitive and non-competitive enzyme inhibitors.,"Competitive inhibitors bind to the active site, blocking substrate; non-competitive inhibitors bind elsewhere, altering enzyme shape and reducing activity.",high
How does the CRISPR-Cas system provide adaptive immunity in bacteria?,"Bacteria capture phage DNA into CRISPR arrays; upon re-infection, crRNA guides Cas proteins to cleave matching foreign DNA.",high
Explain the concept of allopatric speciation.,Allopatric speciation occurs when a population is geographically separated; reproductive isolation leads to genetic divergence and new species.,high
What is the role of reverse transcriptase in retroviruses?,"Reverse transcriptase converts viral RNA into DNA, which integrates into the host genome.",high
Describe the structure of an antibody and its function.,Antibodies are Y-shaped proteins with variable regions that bind antigens; constant regions interact with immune cells to neutralize pathogens.,high
How does the Calvin cycle fix carbon?,"The Calvin cycle uses ATP and NADPH to incorporate CO2 into a 5-carbon sugar (RuBP), producing 3-carbon molecules that become glucose.",high
Explain the difference between sympathetic and parasympathetic nervous systems.,"Sympathetic triggers fight-or-flight (increased heart rate, dilated pupils), while parasympathetic promotes rest-and-digest (slows heart rate, stimulates digestion).",high
What is the molecular structure of the cell membrane according to the fluid mosaic model?,"The cell membrane is a phospholipid bilayer with embedded proteins, cholesterol, and carbohydrates; it is fluid and dynamic.",high
How does gene regulation occur in eukaryotes?,"Eukaryotic gene regulation involves transcription factors, enhancers, silencers, chromatin remodeling, and post-transcriptional modifications.",high
Describe the process of glycolysis.,"Glycolysis breaks down one glucose (6C) into two pyruvate (3C), producing 2 ATP and 2 NADH in the cytoplasm.",high
What is the role of the tumor suppressor gene p53?,"p53 regulates cell cycle arrest, DNA repair, and apoptosis to prevent damaged cells from proliferating; mutations are linked to many cancers.",high
Explain how neurons communicate via synapses.,"Action potentials trigger neurotransmitter release from presynaptic vesicles; neurotransmitters bind to receptors on the postsynaptic membrane, causing ion flow.",high
What is the endosymbiotic theory?,"The theory proposes that mitochondria and chloroplasts originated as free-living prokaryotes engulfed by a host cell, forming a symbiotic relationship.",high
Describe the nitrogen cycle and the role of nitrifying bacteria.,"Nitrifying bacteria (e.g., Nitrosomonas, Nitrobacter) convert ammonia to nitrite and then nitrate, making nitrogen available to plants.",high
How does alternative splicing increase protein diversity?,Alternative splicing allows different combinations of exons from a single gene to produce multiple mRNA transcripts and protein isoforms.,high
What is the function of telomeres? How do they relate to aging?,"Telomeres protect chromosome ends from degradation; they shorten with each cell division, and short telomeres trigger senescence or apoptosis, linking to aging.",high
Explain the principle of PCR and its applications.,"PCR amplifies specific DNA sequences using cycles of denaturation, annealing, and extension with Taq polymerase; used in cloning, forensics, diagnostics.",high
What is the role of the hypothalamus in thermoregulation?,"The hypothalamus detects blood temperature and controls effectors (sweating, shivering, vasodilation/constriction) to maintain set point.",high
How does the immune system distinguish self from non-self?,Through MHC molecules presenting peptides; T cells undergo selection to tolerate self-antigens and react to foreign antigens.,high
Describe the process of DNA replication.,"DNA helicase unwinds strands; primase adds RNA primers; DNA polymerase III synthesizes new strands; leading strand continuous, lagging strand in Okazaki fragments.",high
What is the ecological significance of keystone species?,Keystone species have a disproportionately large effect on their ecosystem relative to abundance; their removal can cause trophic cascades.,high
Explain the concept of epigenetic inheritance.,"Epigenetic modifications (DNA methylation, histone acetylation) alter gene expression without changing DNA sequence and can be heritable.",high
How does the sodium-potassium pump maintain the resting potential?,"The pump moves 3 Na+ out and 2 K+ in using ATP, creating a concentration gradient that establishes a negative intracellular resting potential.",high
What is the role of the microbiome in human health?,"The microbiome aids digestion, produces vitamins, trains the immune system, and inhibits pathogens; imbalances are linked to diseases.",high
Describe the process of apoptosis and its importance.,Apoptosis is programmed cell death executed by caspases; it removes damaged or unnecessary cells during development and homeostasis.,high
How do oncogenes contribute to cancer?,"Oncogenes are mutated proto-oncogenes that promote uncontrolled cell growth, often through gain-of-function mutations.",high
Explain the mechanism of action of statins in lowering cholesterol.,"Statins competitively inhibit HMG-CoA reductase, the rate-limiting enzyme in cholesterol synthesis, reducing intracellular cholesterol and increasing LDL receptor expression.",high
What is the difference between primary and secondary succession?,Primary succession occurs on bare rock without soil; secondary succession occurs on existing soil after a disturbance.,high
Describe the structure and function of a ribosome.,Ribosomes consist of large and small subunits composed of rRNA and proteins; they catalyze peptide bond formation during translation.,high
How does the lac operon demonstrate negative and positive gene regulation?,Negative: lac repressor blocks transcription in absence of lactose. Positive: CAP-cAMP complex enhances transcription when glucose is low.,high
What is the significance of the Ediacaran biota?,"Ediacaran biota represents some of the earliest complex multicellular life forms, predating the Cambrian explosion.",high
Explain how RNA interference (RNAi) works.,"Small interfering RNAs (siRNAs) or microRNAs (miRNAs) bind to complementary mRNA, leading to degradation or translational repression.",high
How does the greenhouse effect contribute to climate change?,"Increased greenhouse gases from human activities enhance the natural greenhouse effect, trapping more heat and causing global warming.",high
Describe the process of homologous recombination during meiosis.,"Homologous chromosomes align, crossover exchanges genetic material at chiasmata, leading to recombination and genetic diversity.",high
What are prions and how do they cause disease?,"Prions are misfolded proteins that induce normal proteins to misfold, leading to neurodegenerative diseases like Creutzfeldt-Jakob disease.",high
Explain the concept of a phylogenetic tree and how it is constructed.,"A phylogenetic tree shows evolutionary relationships; constructed using morphological, genetic, or molecular data via methods like maximum likelihood.",high
How does the hypothalamus-pituitary axis regulate endocrine function?,"The hypothalamus releases releasing hormones that stimulate the pituitary to secrete trophic hormones, which then act on target endocrine glands.",high
What is the role of the glomerulus in the nephron?,"The glomerulus filters blood under pressure, allowing water, ions, and small molecules to enter Bowman's capsule while retaining cells and large proteins.",high
Describe the light-dependent reactions of photosynthesis.,"Photosystem II absorbs light, splits water, releases O2 and protons; electrons move through the electron transport chain, pumping protons; ATP synthase produces ATP; NADP+ is reduced to NADPH.",high
How do antibiotics like penicillin target bacterial cell walls?,"Penicillin inhibits transpeptidase enzymes that cross-link peptidoglycan chains, weakening the cell wall and causing lysis.",high
What is the significance of the Cambrian explosion?,The Cambrian explosion (~541 million years ago) marks the rapid appearance of most major animal phyla in the fossil record.,high
Explain the principle of enzyme catalysis.,"Enzymes lower activation energy by stabilizing the transition state, providing an alternative reaction pathway without being consumed.",high
What is 2 + 3?,5,elementary
How many sides does a triangle have?,3,elementary
What color is the sky on a clear day?,Blue,elementary
What is 10 - 4?,6,elementary
Name a shape that has 4 equal sides.,Square,elementary
What is 3 times 5?,15,elementary
How many corners does a cube have?,8,elementary
What is the opposite of hot?,Cold,elementary
"If you have 2 apples and get 3 more, how many do you have?",5,elementary
What is 12 divided by 4?,3,elementary
Which is heavier: a kilogram of feathers or a kilogram of rocks?,Same weight,elementary
What shape is a ball?,Sphere,elementary
How many inches are in a foot?,12,elementary
What is 100 - 50?,50,elementary
What do you use to measure length?,Ruler,elementary
What is 8 + 7?,15,elementary
How many sides does a square have?,4,elementary
What is the freezing point of water in Celsius?,0,elementary
"If you cut a pizza into 4 equal slices, each slice is called a what?",Quarter or fourth,elementary
What is 5 times 0?,0,elementary
What shape has no corners?,Circle,elementary
How many pennies make a dollar?,100,elementary
What is 20 divided by 5?,4,elementary
What is 9 + 6?,15,elementary
How many days are in a week?,7,elementary
What is the name for a shape with 5 sides?,Pentagon,elementary
What is 14 - 8?,6,elementary
What does a scale measure?,Weight or mass,elementary
What is 4 times 6?,24,elementary
How many sides does a hexagon have?,6,elementary
What is the boiling point of water in Celsius?,100,elementary
"If you have 10 cookies and eat 3, how many are left?",7,elementary
What is 15 divided by 3?,5,elementary
What shape is a stop sign?,Octagon,elementary
How many centimeters are in a meter?,100,elementary
What is 7 + 8?,15,elementary
What planet is known as the Red Planet?,Mars,elementary
What is 20 minus 12?,8,elementary
What is the value of pi rounded to one decimal place?,3.1,elementary
How many quarters make a dollar?,4,elementary
What is 3 cubed?,27,elementary
What is the sum of the angles in a triangle?,180 degrees,elementary
What is 100 divided by 10?,10,elementary
Name a type of simple machine that helps lift things.,Lever,elementary
What is 50 plus 30?,80,elementary
How many faces does a cube have?,6,elementary
What is the chemical symbol for water?,H2O,elementary
What is 9 times 9?,81,elementary
"If you have 15 marbles and give away 7, how many do you have?",8,elementary
What is 3/4 as a decimal?,0.75,middle
What is the formula for the area of a rectangle?,length × width,middle
What is the square root of 64?,8,middle
How many sides does a decagon have?,10,middle
What is the value of 2^5?,32,middle
What is the law of inertia?,An object at rest stays at rest unless acted upon by a force.,middle
What is the chemical symbol for oxygen?,O,middle
"If a triangle has sides of length 3, 4, and 5, is it a right triangle?",Yes,middle
"What is the mean of 2, 5, 8?",5,middle
What is the formula for the volume of a cube?,side^3,middle
What is the pH of a neutral solution?,7,middle
What is 15% of 200?,30,middle
What is the slope of a horizontal line?,0,middle
How many atoms are in a molecule of water?,3,middle
What is the circumference of a circle with radius 5? (Use π=3.14),31.4,middle
What is Newton's second law of motion?,F = ma,middle
"What is the median of 3, 7, 9, 12, 15?",9,middle
What is the atomic number of carbon?,6,middle
Simplify: 2(3x + 4) - 5x,x + 8,middle
What is the area of a triangle with base 6 and height 8?,24,middle
What is the probability of rolling a 5 on a fair die?,1/6,middle
What is the density of an object with mass 20 g and volume 5 cm^3?,4 g/cm^3,middle
What is the value of 10! / 8! ?,90,middle
What is the chemical formula for table salt?,NaCl,middle
What is the perimeter of a square with side length 7?,28,middle
"What is the mode of 4, 4, 5, 6, 7?",4,middle
What is the equation for the area of a circle?,πr^2,middle
What is the speed of light in vacuum approximately?,3 × 10^8 m/s,middle
Solve for x: 2x + 3 = 11,4,middle
What is the chemical symbol for gold?,Au,middle
"What is the range of 10, 20, 30, 40?",30,middle
What is the Pythagorean theorem?,a^2 + b^2 = c^2,middle
What is the force of gravity on a 5 kg mass? (g=9.8 m/s^2),49 N,middle
"What is the volume of a rectangular prism with dimensions 2, 3, 4?",24,middle
"What is the next term in the sequence: 2, 6, 18, 54, ...?",162,middle
What is the unit of electric current?,Ampere (A),middle
What is the sum of the interior angles of a pentagon?,540 degrees,middle
"What is the mean absolute deviation of 1, 2, 3?",2/3,middle
What is the chemical name for H2SO4?,Sulfuric acid,middle
What is the slope of the line y = 3x + 2?,3,middle
What is the surface area of a sphere with radius 3? (Use π=3.14),113.04,middle
What is the formula for the volume of a cylinder?,πr^2h,middle
What is the probability of drawing a heart from a standard deck of cards?,1/4,middle
What is the acceleration of a car that goes from 0 to 60 m/s in 10 s?,6 m/s^2,middle
Solve: 3(x - 4) = 15,x = 9,middle
What is the atomic mass of carbon approx?,12 amu,middle
What is the area of a parallelogram with base 8 and height 5?,40,middle
"What is the median of 1, 3, 3, 6, 7, 8, 9?",6,middle
What is the formula for the law of universal gravitation?,F = G m1 m2 / r^2,high
Derive the quadratic formula from ax^2 + bx + c = 0.,x = [-b ± √(b^2 - 4ac)] / (2a),high
What is the derivative of x^3?,3x^2,high
What is the integral of 2x?,x^2 + C,high
What is the pH of a 0.01 M HCl solution?,2,high
What is the hybridization of carbon in CH4?,sp3,high
What is the limit of (sin x)/x as x approaches 0?,1,high
What is the kinetic energy of a 2 kg object moving at 3 m/s?,9 J,high
"What is the standard deviation of the set {2, 4, 6}? (population)",sqrt(8/3) ≈ 1.633,high
What is the oxidation number of sulfur in H2SO4?,+6,high
"Solve the differential equation: dy/dx = 2x, y(0)=3",y = x^2 + 3,high
What is the bond order of O2?,2,high
What is the angle between two vectors with dot product 0?,90 degrees,high
What is the molar mass of NaCl?,58.44 g/mol,high
What is the second derivative of f(x) = x^4?,12x^2,high
What is the area under the curve y = x from 0 to 2?,2,high
What is the equilibrium constant expression for aA + bB ⇌ cC + dD?,K = [C]^c[D]^d / [A]^a[B]^b,high
What is the work done by a constant force of 10 N over a distance of 5 m?,50 J,high
What is the probability of getting exactly 3 heads in 5 coin flips?,10/32 = 5/16,high
What is the radius of convergence of the series ∑(x^n/n)?,1,high
What is the formula for the period of a simple pendulum?,T = 2π √(L/g),high
What is the IUPAC name of CH3CH2OH?,Ethanol,high
"What is the dot product of vectors (1,2,3) and (4,-5,6)?",12,high
"What is the matrix determinant of [[1,2],[3,4]]?",-2,high
What is the half-life of a first-order reaction with rate constant k?,t1/2 = ln(2)/k,high
What is the emf of a cell with standard potentials Zn/Zn2+ (-0.76 V) and Cu/Cu2+ (0.34 V)?,1.10 V,high
What is the Taylor series expansion of e^x around 0?,∑ x^n/n!,high
"What is the gradient of f(x,y) = x^2 + y^2?","∇f = (2x, 2y)",high
What is the entropy change for a reversible isothermal expansion of an ideal gas?,ΔS = nR ln(V2/V1),high
What is the equation of a line tangent to y = x^2 at x=1?,y = 2x - 1,high
What is the maximum of f(x) = -x^2 + 4x + 1?,5 at x=2,high
What is the coefficient of x^3 in (1+x)^5?,10,high
What is the nuclear charge of oxygen-16?,8,high
What is the wavelength of light with frequency 5×10^14 Hz? (c=3×10^8),600 nm,high
What is the acceleration due to gravity at Earth's surface?,9.8 m/s^2,high
What is the sum of the series 1/2 + 1/4 + 1/8 + ...?,1,high
What is the enthalpy change for melting ice? (ΔH_fus),6.01 kJ/mol,high
What is the conjugate base of H2O?,OH-,high
What is the linear approximation of √(4.1) using differentials?,2.025,high
"What is the cross product of (1,0,0) and (0,1,0)?","(0,0,1)",high
What is the standard form of a complex number?,a + bi,high
What is the chirality of a molecule with a single stereocenter?,Chiral,high
What is the first law of thermodynamics?,ΔU = Q - W,high
What is the average rate of change of f(t) = t^2 from t=1 to t=3?,4,high
What is the reduction potential of hydrogen electrode under standard conditions?,0 V,high
What is the equation for the moment of inertia of a point mass?,I = mr^2,high
What is the null space of a matrix?,The set of vectors that map to zero,high
What is the pH of a 0.1 M NaOH solution?,13,high
What is the Fourier series of a square wave?,Sum of odd sine harmonics,high
What is the plural of 'cat'?,cats,elementary
Which word is a noun: 'run' or 'dog'?,dog,elementary
What does the word 'happy' mean?,feeling joy or pleased,elementary
Find the verb in this sentence: 'The bird sings.',sings,elementary
What is the opposite of 'big'?,small,elementary
What is a synonym for 'fast'?,quick,elementary
Name one punctuation mark used at the end of a sentence.,period,elementary
"In the sentence 'She has a red ball', what color is the ball?",red,elementary
What is the past tense of 'jump'?,jumped,elementary
Which word is an adjective: 'soft' or 'chair'?,soft,elementary
What is the main character in a story called?,protagonist,elementary
What does 'begin' mean?,to start,elementary
Identify the subject in 'The cat sleeps.',The cat,elementary
What is the plural of 'child'?,children,elementary
Which word means the same as 'small'?,tiny,elementary
What is an antonym for 'hot'?,cold,elementary
Complete the sentence: 'I ___ a student.' (am/is/are),am,elementary
What is a noun?,"a person, place, thing, or idea",elementary
How many letters are in the word 'apple'?,5,elementary
What is the setting of a story?,where and when the story takes place,elementary
Which word is a pronoun: 'he' or 'book'?,he,elementary
What sound does the letter 'b' make?,/b/,elementary
What is the ending of a story called?,conclusion,elementary
Name a word that rhymes with 'bat'.,cat,elementary
What is the first word in the sentence? 'The dog runs fast.',The,elementary
What is the opposite of 'up'?,down,elementary
What does 'gigantic' mean?,very large,elementary
Is 'happy' a noun or adjective?,adjective,elementary
What is the plural of 'mouse'?,mice,elementary
Identify the preposition: 'The book is on the table.',on,elementary
What does the suffix '-ful' mean?,full of,elementary
Which word is a verb: 'sleep' or 'bed'?,sleep,elementary
What is the main idea of 'The Three Little Pigs'?,Hard work pays off.,elementary
What is a compound word?,two words joined together,elementary
Give an example of a compound word.,sunflower,elementary
What punctuation ends a question?,question mark,elementary
What is the opposite of 'wet'?,dry,elementary
Name one conflict in 'Goldilocks and the Three Bears'.,Goldilocks enters without permission.,elementary
What is the past tense of 'go'?,went,elementary
"Which letter is a vowel? 'b', 'e', 'k'",e,elementary
What is a character trait of the boy in 'The Boy Who Cried Wolf'?,dishonest,elementary
What does 're-' mean in 'rerun'?,again,elementary
Complete: 'She ___ to school yesterday.' (go/went),went,elementary
What is a synonym for 'sad'?,unhappy,elementary
What is the first step in reading a book?,open the cover,elementary
Identify the article: 'an apple',an,elementary
What does the word 'brave' mean?,showing courage,elementary
What is the plural of 'foot'?,feet,elementary
Which word is a conjunction: 'and' or 'the'?,and,elementary
What is the moral of 'The Tortoise and the Hare'?,Slow and steady wins the race.,elementary
Define 'simile' and give an example.,"A comparison using 'like' or 'as'; e.g., 'as brave as a lion'.",middle
What is the difference between a metaphor and a simile?,"A metaphor states one thing is another, a simile uses 'like' or 'as'.",middle
Identify the part of speech of 'quickly' in 'She ran quickly.',adverb,middle
What is the theme of 'The Gift of the Magi'?,Selfless love is more valuable than material possessions.,middle
Rewrite in passive voice: 'The cat chased the mouse.',The mouse was chased by the cat.,middle
What is an example of alliteration?,Peter Piper picked a peck of pickled peppers.,middle
Define 'irony' and give one type.,"Irony is a contrast between expectation and reality; e.g., dramatic irony.",middle
What is the main conflict in 'The Outsiders'?,Class struggle between the Greasers and the Socs.,middle
"Identify the subordinate clause: 'Although it rained, we played outside.'",Although it rained,middle
What is the function of a prepositional phrase?,It modifies a noun or verb by showing relationship.,middle
Compare and contrast first-person and third-person point of view.,"First-person uses 'I', more personal; third-person uses 'he/she', more objective.",middle
What is an oxymoron? Give an example.,"Contradictory terms together; e.g., 'jumbo shrimp'.",middle
Correct the sentence: 'Me and him went to the store.',He and I went to the store.,middle
What is the setting of 'The Hunger Games'?,"A dystopian nation called Panem, primarily District 12 and the Capitol.",middle
Explain what a prefix is and give an example.,"A prefix is added to the beginning of a word to change meaning; e.g., 'un-' in 'unhappy'.",middle
"What is the difference between 'their', 'there', and 'they're'?","Their is possessive, there is a place, they're is they are.",middle
Identify the direct object: 'She bought a new car.',car,middle
What is a protagonist?,The main character in a story.,middle
Define 'antagonist' and give an example from a book.,"The character who opposes the protagonist; e.g., Voldemort in Harry Potter.",middle
"What type of sentence is this: 'If you study, you will pass.'?",complex sentence,middle
Explain the term 'plot twist'.,An unexpected change in the story's direction.,middle
What is the root word of 'unhappiness'?,happy,middle
Identify the mood in 'The Tell-Tale Heart'.,"tense, suspenseful",middle
